Name,Description,Ecosystem,Spec. Issue,Components,Interfaces,Source
Supply Chain Risks,"While the introduction of Open RAN architecture provides an opportunity for new entrants to move their products from development to deployment, network providers will need to assess security risks associated with implementing a more diversified vendor environment and take appropriate actions. While not unique to Open RAN, potential security risks include, but are not limited to:

- insertion of malicious features during design.
- alteration of system behavior through illicit access points that exist due to hardware design weaknesses or architectural flaws.
- extraction of sensitive or secret information through unintended communications (side) channels.
- stolen intellectual property through reverse engineering.
- counterfeit, including recycled, cloned or remarked components or systems represented as genuine.
- modification to insert hidden malicious functionality.",TRUE,FALSE,ALL,ALL,REPORT ON CHALLENGES TO THE DEVELOPMENT OF ORAN TECHNOLOGY AND RECOMMENDATIONS ON HOW TO OVERCOME THEM
Vendor Diversity Risks,"One basic paradigm of Open RAN is that a “more competitive and vibrant RAN supplier ecosystem with faster innovation”20 will improve the user experience. Operators may have differing views on deploying Open RAN. One uncertainty is if operators committing to Open RAN technology will need to expend greater efforts to test and integrate components at various layers of network functionality to ensure security and interoperability prior to deploying it in their production networks.

While a larger vendor marketplace may initially occur, operators may select and rely upon a smaller number of vendors in order to reduce the test and integration burden and subsequent risk. This may cause the supplier marketplace to shrink and lose some robustness, as the router vendor market consolidated in the first decade of this century.

The increased complexity of the Open RAN architecture and mix-vendor platforms and networks increase the difficulties of troubleshooting and problem isolation. Operators traditionally have kept the number of vendors high enough to encourage competition but low enough so that when there are problems with a particular platform, the operator can rely on that vendor’s expertise to resolve the issue. The multi-vendor network introduces an increased complexity in troubleshooting network issues.",TRUE,FALSE,ALL,ALL,REPORT ON CHALLENGES TO THE DEVELOPMENT OF ORAN TECHNOLOGY AND RECOMMENDATIONS ON HOW TO OVERCOME THEM
SMO Infiltration,"Current Service Management and Orchestration (SMO) functions in 5G networks rely on proprietary interfaces to provide management and orchestration to the RAN and are unique to each supplier. O-RAN introduces the SMO function to perform the 3GPP defined Network Manager functions with standardized interfaces for management and orchestration as shown in Figure 5 below. Securing the SMO and its associated interfaces is imperative because it is responsible for all service management and orchestration. A security vulnerability within the SMO could be exploited to serve as an entry point to other Open RAN components and lateral movement across Open RAN for attacks on RAN confidentiality, integrity, availability, and authenticity.

The SMO also accesses internal and external data stores through Application Programming Interfaces (APIs) which must be securely implemented so that data at rest, in motion, and in use are protected. An external attacker could poison external data controlled by another third-party who has not implemented proper security controls. After the poisoned data is imported to the SMO via the External interfaces, as shown in Figure 6, the external attacker could exploit it to gain access to the O-RAN ecosystem to degrade performance or perform reconnaissance.",FALSE,FALSE,SMO,External Interfaces,REPORT ON CHALLENGES TO THE DEVELOPMENT OF ORAN TECHNOLOGY AND RECOMMENDATIONS ON HOW TO OVERCOME THEM
Conflicting xApp/rApp Policies,"The risk of conflicting policies and parameter settings increases as the number of application vendors increases. Conflict mitigation is important in a multi-vendor environment in which multiple apps from different vendors could be, unintentionally or maliciously, forming and pushing conflicting RAN policies and parameter settings. Conflict mitigation prevents RAN performance degradation and outages, which are availability attacks.",FALSE,FALSE,"Near-RT RIC, Non-RT RIC",,REPORT ON CHALLENGES TO THE DEVELOPMENT OF ORAN TECHNOLOGY AND RECOMMENDATIONS ON HOW TO OVERCOME THEM
OFH C-Plane Attacks,"Lack of encryption of control messages on the C-Plane allows modification, injection, and replay attacks that can be used to degrade RAN performance or cause an outage. However, the CUS-Plane is sensitive to latency, which could inhibit or limit use of encryption. If front-door encryption is insufficient or lacking, the opportunity exists for external attacks and subsequent network degradation.",FALSE,FALSE,,Fronthaul Interface,REPORT ON CHALLENGES TO THE DEVELOPMENT OF ORAN TECHNOLOGY AND RECOMMENDATIONS ON HOW TO OVERCOME THEM
OFH S-Plane Attacks,"For the S-plane, attacks that are possible by an external threat are the most important ones to address. A lack of authentication on the S-plane enables an attacker to take over the role of Grand Master Clock, which can be used to exploit synchronization causing degradation in Uplane performance. An external RF-cyber-attack could affect the downstream Ethernet-based Precision Time Protocols (PTP), Master Clock, Transparent Clock, and Boundary Clock, among other synchronization and timing elements. As of the March 2022 train of O-RAN specifications,41 specific authentication and authorization mechanism of S-plane PTP messages are not required.",FALSE,FALSE,,Fronthaul Interface,REPORT ON CHALLENGES TO THE DEVELOPMENT OF ORAN TECHNOLOGY AND RECOMMENDATIONS ON HOW TO OVERCOME THEM
Multi-RAT Vulnerabilities,"Heterogeneous Radio Access Technology (RAT) networks require secure RAN orchestration such that the latest O-RAN-based 5G standalone deployment can securely coexist with other types of 5G and legacy systems, referred to as multi-RAT. An O-RAN-based 5G network deployment by itself can exhibit almost ideal performance but placed in the presence of other RAT networks or devices, chaotic and unsecure performance can emerge. Multi-RAT challenges overall network security by introducing threat variables to assure optimal O-RAN orchestration performance for secure coexistence in the presence of multiple threat variables and attack surfaces.  Multi-RAT increases exposure of the network's attack surface to malicious actors. Since Open RAN decouples the software from the hardware and moves orchestration to a cloud-native environment, orchestration can become automated and easily untrusted. Additionally, the RATs are vendor agnostic, creating an unknown attack surface between multi-vendor solutions.",TRUE,FALSE,ALL,ALL,REPORT ON CHALLENGES TO THE DEVELOPMENT OF ORAN TECHNOLOGY AND RECOMMENDATIONS ON HOW TO OVERCOME THEM
Adversarial Machine Learning,"ML-based systems may suffer from a special type of logical vulnerabilities that stem from the inherent properties of the machine learning algorithms. For instance, an adversary can utilize AML, where ML models are susceptible to adversarial samples that appear as normal samples but have some imperceptible noise added to them with the intention of spoofing a trained classifier and misclassifying the input. This mechanism potentially allows an adversary to exploit the ML in a way to gain control of the network and exfiltrate information/data to degrade network performance or to gain control of the network for other malicious purposes. It is therefore necessary to consider ways of detecting and blocking adversaries in real time that could exploit ML-based vulnerabilities to their advantage.

...

The AML threat can originate from O-RAN application software developer, virtualization software provider, hardware infrastructure supplier or the user equipment. The attacker can potentially tamper with the network thus compromising integrity, cause availability issues with denial of service or disclose or have access to private data/models in use.",FALSE,FALSE,"Near-RT RIC, Non-RT RIC",,REPORT ON CHALLENGES TO THE DEVELOPMENT OF ORAN TECHNOLOGY AND RECOMMENDATIONS ON HOW TO OVERCOME THEM
Post-Quantum Cryptography Threats,"Present-day Cryptography, referred to here as Classical Cryptography, provides the underlying foundation on which the security of the data and communications in our digital worlds is built. Mobile telecommunication networks and devices, including those based on 3GPP and Open RAN architectures, depend heavily on Classical Cryptography to protect the privacy, confidentiality and integrity of their users and data.",FALSE,FALSE,ALL,ALL,REPORT ON CHALLENGES TO THE DEVELOPMENT OF ORAN TECHNOLOGY AND RECOMMENDATIONS ON HOW TO OVERCOME THEM
BGP Security Threats,"O-RAN Alliance WG9 defines the packet switched transport architectures for supporting front-, mid- and back-haul interfaces. The O-RAN Xhaul Packet Switched Architectures and Solutions Specification67 use the BGP internet routing protocol.68 The security of BGP could impact Open RAN deployments in cloud environments, particularly hybrid cloud deployments, for which due diligence should be performed to establish BGP security 69.",FALSE,FALSE,ALL,ALL,REPORT ON CHALLENGES TO THE DEVELOPMENT OF ORAN TECHNOLOGY AND RECOMMENDATIONS ON HOW TO OVERCOME THEM
Multi-Vendor Complexity in Troubleshooting,"Due to Open RAN’s multi-vendor environment, there is increased complexity for the network management and security operations center to determine the cause of an outage or performance degradation. Another challenge is ensuring that the trusted container or Virtual Machine is operating correctly. With the disaggregation of network functions and components, it is difficult to quickly isolate problems, which may result in lengthy network recovery from compromised or malfunctioning functions or components. Increased integration testing prior to deployment may mitigate this concern with the tradeoff that it increases the operator’s time to implement any change in the network.",TRUE,FALSE,ALL,ALL,REPORT ON CHALLENGES TO THE DEVELOPMENT OF ORAN TECHNOLOGY AND RECOMMENDATIONS ON HOW TO OVERCOME THEM
Expert Supply Shortages,"The increased network complexity in an Open RAN deployment requires an increased level of technical expertise to ensure the network is operated and maintained in a secure and reliable way.

Deploying Open RAN solutions, which relies on disaggregation and virtualization technologies, changes the paradigm in which network equipment vendors provide dedicated telecommunications technical support to one in which network operators will require a workforce with IT engineering and system integration experience. These types of individuals are in high demand, making it a considerable challenge to find a sufficient, highly skilled workforce.",TRUE,FALSE,ALL,ALL,REPORT ON CHALLENGES TO THE DEVELOPMENT OF ORAN TECHNOLOGY AND RECOMMENDATIONS ON HOW TO OVERCOME THEM
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,FALSE,,,
,,FALSE,,,,
